Wavelength	Film_Bottle_transmission
200	0.000224363
201	-0.033508446
202	-0.013063205
203	0.044710793
204	0.140772596
205	0.102310956
206	0.113446355
207	0.156870775
208	0.150867485
209	0.111390959
210	0.139658831
211	0.131219626
212	0.051050573
213	0.130866155
214	0.152798764
215	0.121983778
216	0.134578448
217	0.104633667
218	0.116833825
219	0.091507915
220	0.113802329
221	0.070788616
222	0.099242751
223	0.122344077
224	0.091886118
225	0.096277267
226	0.08186011
227	0.06894147
228	0.058643922
229	0.07225493
230	0.062198702
231	0.079390852
232	0.074624673
233	0.069575034
234	0.074043551
235	0.078109309
236	0.069764122
237	0.065330975
238	0.066965455
239	0.061774934
240	0.069924079
241	0.065785896
242	0.067806141
243	0.068096859
244	0.070203356
245	0.067365242
246	0.069475455
247	0.065417737
248	0.060132423
249	0.059415292
250	0.06348134
251	0.066315439
252	0.065590555
253	0.056049313
254	0.064212592
255	0.063818581
256	0.078480314
257	0.069047881
258	0.092414755
259	0.092415463
260	0.089962427
261	0.079552572
262	0.079357162
263	0.085713156
264	0.071458139
265	0.086621359
266	0.080759127
267	0.074176908
268	0.085022882
269	0.085965697
270	0.080528509
271	0.092618518
272	0.112723928
273	0.088931542
274	0.090185761
275	0.087011833
276	0.073061481
277	0.054682782
278	0.06371613
279	0.072700158
280	0.096462719
281	0.080098409
282	0.072027434
283	0.085227244
284	0.081750924
285	0.09074826
286	0.083340339
287	0.088070363
288	0.0615119
289	0.074443476
290	0.062140323
291	0.080638312
292	0.053418335
293	0.072482703
294	0.059208944
295	0.080773126
296	0.105381295
297	0.115497533
298	0.106624689
299	0.080199195
300	0.081353869
301	0.058908684
302	0.079717532
303	0.093108967
304	0.085258592
305	0.107518222
306	0.119072735
307	0.117550109
308	0.120363157
309	0.137091287
310	0.169035062
311	0.23990573
312	0.390573055
313	0.695245385
314	1.223550856
315	1.894228638
316	2.887428641
317	3.90868187
318	5.029390574
319	6.131903887
320	7.118391514
321	7.961778641
322	8.781143666
323	9.550106526
324	10.22872591
325	10.83933068
326	11.49229813
327	12.13112307
328	12.7242837
329	13.38560677
330	13.9556365
331	14.45317555
332	14.98532152
333	15.57633639
334	15.92014361
335	16.31221295
336	16.78927136
337	17.01953221
338	17.43808175
339	17.78987599
340	18.26209164
341	18.71348763
342	19.16492653
343	19.43508721
344	19.81980896
345	20.18853378
346	20.41016388
347	20.70362091
348	20.95924283
349	21.39162255
350	22.11747933
351	22.55495739
352	23.10651779
353	23.09962654
354	23.874403
355	24.54592991
356	25.21089268
357	25.82229233
358	26.22512722
359	26.78265572
360	27.44620705
361	27.87621212
362	28.35564137
363	28.82537842
364	29.51777458
365	30.09297276
366	30.52928734
367	31.09062767
368	31.60500813
369	32.17964364
370	32.58685875
371	32.96275902
372	33.49709702
373	33.90680122
374	34.29619789
375	34.5666771
376	34.87818909
377	35.09876252
378	35.45671082
379	35.84798241
380	36.24868393
381	36.64071274
382	37.07702255
383	37.51667977
384	37.99625778
385	38.40628052
386	38.914814
387	39.33655739
388	39.6680584
389	40.04396439
390	40.25315285
391	40.45864487
392	40.54758644
393	40.53829575
394	40.5558281
395	40.48515892
396	40.44680977
397	40.41317558
398	40.34827996
399	40.35661888
400	40.49082565
401	40.48916626
402	40.6426754
403	40.94024086
404	41.25749589
405	41.62229729
406	41.96342659
407	42.35423851
408	42.70907021
409	43.06332207
410	43.40179062
411	43.53706932
412	43.72140694
413	43.81847763
414	43.89715004
415	43.90179634
416	43.82162476
417	43.82454872
418	43.66645241
419	43.47986221
420	43.42052078
421	43.25416184
422	43.19534874
423	43.17203713
424	43.18839073
425	43.29608536
426	43.42011261
427	43.57414055
428	43.84414292
429	43.98455429
430	44.31394196
431	44.60577965
432	44.88319016
433	45.0830555
434	45.35528374
435	45.53900338
436	45.65556336
437	45.83433151
438	45.9196415
439	45.9735508
440	45.9428711
441	45.80648422
442	45.79506111
443	45.69907951
444	45.49869156
445	45.37021828
446	45.24660111
447	45.10798264
448	44.96245384
449	44.86372566
450	44.75472641
451	44.64011002
452	44.55670929
453	44.48514557
454	44.40794945
455	44.39358902
456	44.30247307
457	44.23119736
458	44.16519737
459	44.08320046
460	44.02854347
461	43.98827362
462	43.92581559
463	43.84575081
464	43.71404839
465	43.61099053
466	43.61649895
467	43.47746468
468	43.41660881
469	43.31989098
470	43.25797463
471	43.19911003
472	43.14256668
473	43.16967392
474	43.13146591
475	43.10890961
476	43.06700897
477	43.08605576
478	43.05951882
479	43.15808106
480	43.13342285
481	43.1279049
482	43.15435982
483	43.23520851
484	43.17421532
485	43.12767792
486	43.06859017
487	43.06847573
488	43.0276928
489	42.93143463
490	42.8764267
491	42.79326248
492	42.71529007
493	42.61846733
494	42.53665734
495	42.4690342
496	42.36001206
497	42.33822441
498	42.30019379
499	42.32082176
500	42.29479981
501	42.31767845
502	42.37252426
503	42.49031639
504	42.61920166
505	42.8139019
506	42.94863701
507	43.17680741
508	43.41934777
509	43.68938065
510	43.94344521
511	44.27022362
512	44.58552742
513	44.87729073
514	45.20957184
515	45.51421166
516	45.80748558
517	46.09554291
518	46.28442955
519	46.51560021
520	46.69921685
521	46.87659645
522	46.93224717
523	46.97653008
524	47.03722763
525	47.00491524
526	46.93503761
527	46.78395844
528	46.67647552
529	46.50234223
530	46.28635216
531	46.09267426
532	45.92325592
533	45.72175407
534	45.54975319
535	45.40991593
536	45.24711609
537	45.13076401
538	44.97196198
539	44.933918
540	44.86997223
541	44.80078888
542	44.86160851
543	44.94379044
544	45.01662255
545	45.20506477
546	45.39217377
547	45.62107277
548	45.8719101
549	46.10842896
550	46.38967133
551	46.71207047
552	47.05121231
553	47.36202812
554	47.71460152
555	48.01026535
556	48.31911469
557	48.54157639
558	48.82136536
559	48.97438431
560	49.11277581
561	49.21236801
562	49.34495544
563	49.36873055
564	49.36595345
565	49.29470253
566	49.17990685
567	49.05328179
568	48.98463249
569	48.8713913
570	48.71744347
571	48.51095581
572	48.29421616
573	48.14752198
574	47.95042038
575	47.72102165
576	47.56204224
577	47.38383293
578	47.19571686
579	47.06328392
580	46.94553185
581	46.8886776
582	46.74769783
583	46.69395638
584	46.64337349
585	46.55252457
586	46.50049019
587	46.44810486
588	46.41230202
589	46.38178635
590	46.39435959
591	46.30829812
592	46.25039101
593	46.09583855
594	46.08876801
595	46.0188694
596	45.86997223
597	45.78054238
598	45.66542244
599	45.51179314
600	45.37755776
