Sortchem	Site	Experiment_Date	Collection_Date	Bottle_name	Experiment_type	H2O2_addition	Condition	Ng_std_added	Spiked_copy_number	mLs_filtered	Enough_reads
BIE_Kit_Control	NA	NA	NA	NA	NA	NA	NA	0	0.00E+00	NA	No
BIE2017_0006	WE2	13-Jun-17	12-Jun-17	LWC.1 T=0	Survey	Control	WL	0.63	5.48E+05	150	Yes
BIE2017_0007	WE2	13-Jun-17	12-Jun-17	LWC.2 T=0	Survey	Control	WL	0.73	6.35E+05	200	Yes
BIE2017_0008	WE2	13-Jun-17	12-Jun-17	LWS.1 T=0	Survey	Spike	WL	0.73	6.35E+05	200	Yes
BIE2017_0009	WE2	13-Jun-17	12-Jun-17	LWS.2 T=0	Survey	Spike	WL	0.73	6.35E+05	200	Yes
BIE2017_0010	WE2	27-Jun-17	26-Jun-17	LWC.1 T=0	Survey	Control	WL	0.43	3.74E+05	200	Yes
BIE2017_0011	WE2	27-Jun-17	26-Jun-17	LWC.2 T=0	Survey	Control	WL	0.43	3.74E+05	200	Yes
BIE2017_0012	WE2	27-Jun-17	26-Jun-17	LWS.1 T=0	Survey	Spike	WL	0.43	3.74E+05	200	Yes
BIE2017_0013	WE2	27-Jun-17	26-Jun-17	LWS.2 T=0	Survey	Spike	WL	0.43	3.74E+05	200	Yes
BIE2017_0014	WE2	6-Jul-17	5-Jul-17	LWC.1 T=0	Survey	Control	WL	0.54	4.70E+05	200	Yes
BIE2017_0015	WE2	6-Jul-17	5-Jul-17	LWC.2 T=0	Survey	Control	WL	0.54	4.70E+05	200	Yes
BIE2017_0016	WE2	6-Jul-17	5-Jul-17	LWS.1 T=0	Survey	Spike	WL	0.54	4.70E+05	200	Yes
BIE2017_0017	WE2	6-Jul-17	5-Jul-17	LWS.2 T=0	Survey	Spike	WL	0.54	4.70E+05	200	Yes
BIE2017_0018	WE2	12-Jul-17	11-Jul-17	LWC.1 T=0	Survey	Control	WL	0.43	3.74E+05	200	Yes
BIE2017_0019	WE2	12-Jul-17	11-Jul-17	LWC.2 T=0	Survey	Control	WL	0.43	3.74E+05	200	Yes
BIE2017_0020	WE2	12-Jul-17	11-Jul-17	LWS.1 T=0	Survey	Spike	WL	0.43	3.74E+05	200	Yes
BIE2017_0021	WE2	12-Jul-17	11-Jul-17	LWS.2 T=0	Survey	Spike	WL	0.43	3.74E+05	200	Yes
BIE2017_0022	WE2	18-Jul-17	17-Jul-17	LWC.1 T=0	Survey	Control	WL	0.73	6.35E+05	200	Yes
BIE2017_0023	WE2	18-Jul-17	17-Jul-17	LWC.2 T=0	Survey	Control	WL	0.73	6.35E+05	200	Yes
BIE2017_0024	WE2	18-Jul-17	17-Jul-17	LWS.1 T=0	Survey	Spike	WL	0.73	6.35E+05	200	Yes
BIE2017_0025	WE2	18-Jul-17	17-Jul-17	LWS.2 T=0	Survey	Spike	WL	0.73	6.35E+05	200	Yes
BIE2017_0026	WE2	25-Jul-17	24-Jul-17	LWC.1 T=0	Survey	Control	WL	1.09	9.48E+05	200	Yes
BIE2017_0027	WE2	25-Jul-17	24-Jul-17	LWC.2 T=0	Survey	Control	WL	1.09	9.48E+05	200	Yes
BIE2017_0028	WE2	25-Jul-17	24-Jul-17	LWS.1 T=0	Survey	Spike	WL	1.09	9.48E+05	200	Yes
BIE2017_0029	WE2	25-Jul-17	24-Jul-17	LWS.2 T=0	Survey	Spike	WL	1.09	9.48E+05	200	Yes
BIE2017_0030	WE2	1-Aug-17	31-Jul-17	LWC.1 T=0	Survey	Control	WL	0.85	7.39E+05	200	Yes
BIE2017_0031	WE2	1-Aug-17	31-Jul-17	LWC.2 T=0	Survey	Control	WL	0.85	7.39E+05	200	Yes
BIE2017_0032	WE2	1-Aug-17	31-Jul-17	LWS.1 T=0	Survey	Spike	WL	0.85	7.39E+05	200	Yes
BIE2017_0033	WE2	1-Aug-17	31-Jul-17	LWS.2 T=0	Survey	Spike	WL	0.85	7.39E+05	200	Yes
BIE2017_0034	WE2	15-Aug-17	14-Aug-17	LWC.1 T=0	Survey	Control	WL	0.98	8.53E+05	200	Yes
BIE2017_0035	WE2	15-Aug-17	14-Aug-17	LWC.2 T=0	Survey	Control	WL	0.98	8.53E+05	200	Yes
BIE2017_0036	WE2	15-Aug-17	14-Aug-17	LWS.1 T=0	Survey	Spike	WL	0.98	8.53E+05	200	Yes
BIE2017_0037	WE2	15-Aug-17	14-Aug-17	LWS.2 T=0	Survey	Spike	WL	0.98	8.53E+05	200	Yes
BIE2017_0038	WE2	22-Aug-17	21-Aug-17	LWC.1 T=0	Survey	Control	WL	2.08	1.81E+06	200	Yes
BIE2017_0039	WE2	22-Aug-17	21-Aug-17	LWC.2 T=0	Survey	Control	WL	2.08	1.81E+06	200	Yes
BIE2017_0040	WE2	22-Aug-17	21-Aug-17	LWS.1 T=0	Survey	Spike	WL	2.08	1.81E+06	200	Yes
BIE2017_0041	WE2	22-Aug-17	21-Aug-17	LWS.2 T=0	Survey	Spike	WL	2.08	1.81E+06	200	No
BIE2017_0042	EC973	30-Aug-17	30-Aug-17	LWC.1 T=0	Survey	Control	WL	1.48	1.29E+06	200	Yes
BIE2017_0043	EC973	30-Aug-17	30-Aug-17	LWC.2 T=0	Survey	Control	WL	1.48	1.29E+06	200	Yes
BIE2017_0044	EC973	30-Aug-17	30-Aug-17	LWS.1 T=0	Survey	Spike	WL	1.48	1.29E+06	200	Yes
BIE2017_0045	EC973	30-Aug-17	30-Aug-17	LWS.2 T=0	Survey	Spike	WL	1.48	1.29E+06	200	Yes
BIE2017_0046	EC885	31-Aug-17	31-Aug-17	LWC.1 T=0	Survey	Control	WL	0.8	6.96E+05	200	Yes
BIE2017_0047	EC885	31-Aug-17	31-Aug-17	LWC.2 T=0	Survey	Control	WL	0.8	6.96E+05	200	Yes
BIE2017_0048	EC885	31-Aug-17	31-Aug-17	LWS.1 T=0	Survey	Spike	WL	0.8	6.96E+05	200	Yes
BIE2017_0049	EC885	31-Aug-17	31-Aug-17	LWS.2 T=0	Survey	Spike	WL	0.8	6.96E+05	200	Yes
BIE2017_0050	WE2	6-Sep-17	5-Sep-17	LWC.1 T=0	Survey	Control	WL	1.4	1.22E+06	200	Yes
BIE2017_0051	WE2	6-Sep-17	5-Sep-17	LWC.2 T=0	Survey	Control	WL	1.4	1.22E+06	200	Yes
BIE2017_0052	WE2	6-Sep-17	5-Sep-17	LWS.1 T=0	Survey	Spike	WL	1.4	1.22E+06	200	No
BIE2017_0053	WE2	6-Sep-17	5-Sep-17	LWS.2 T=0	Survey	Spike	WL	1.4	1.22E+06	200	Yes
BIE2017_0054	WE2	12-Sep-17	11-Sep-17	LWC.1 T=0	Survey	Control	WL	0.94	8.18E+05	200	Yes
BIE2017_0055	WE2	12-Sep-17	11-Sep-17	LWC.2 T=0	Survey	Control	WL	0.94	8.18E+05	200	Yes
BIE2017_0056	WE2	12-Sep-17	11-Sep-17	LWS.1 T=0	Survey	Spike	WL	0.94	8.18E+05	200	Yes
BIE2017_0057	WE2	12-Sep-17	11-Sep-17	LWS.2 T=0	Survey	Spike	WL	0.94	8.18E+05	200	Yes
BIE2017_0058	WE2	19-Sep-17	18-Sep-17	LWC.1 T=0	Survey	Control	WL	1.34	1.17E+06	200	Yes
BIE2017_0059	WE2	19-Sep-17	18-Sep-17	LWC.2 T=0	Survey	Control	WL	1.34	1.17E+06	200	Yes
BIE2017_0060	WE2	19-Sep-17	18-Sep-17	LWS.1 T=0	Survey	Spike	WL	1.34	1.17E+06	200	Yes
BIE2017_0061	WE2	19-Sep-17	18-Sep-17	LWS.2 T=0	Survey	Spike	WL	1.34	1.17E+06	200	Yes
BIE2017_0062	WE2	26-Sep-17	25-Sep-17	LWC.1 T=0	Survey	Control	WL	1.04	9.05E+05	200	Yes
BIE2017_0063	WE2	26-Sep-17	25-Sep-17	LWC.2 T=0	Survey	Control	WL	1.04	9.05E+05	200	Yes
BIE2017_0064	WE2	26-Sep-17	25-Sep-17	LWS.1 T=0	Survey	Spike	WL	1.04	9.05E+05	200	Yes
BIE2017_0065	WE2	26-Sep-17	25-Sep-17	LWS.2 T=0	Survey	Spike	WL	1.04	9.05E+05	200	Yes
BIE2017_0066	EC215	3-Oct-17	3-Oct-17	LWC.1 T=0	Survey	Control	WL	1.29	1.12E+06	200	Yes
BIE2017_0067	EC215	3-Oct-17	3-Oct-17	LWC.2 T=0	Survey	Control	WL	1.29	1.12E+06	200	Yes
BIE2017_0068	EC215	3-Oct-17	3-Oct-17	LWS.1 T=0	Survey	Spike	WL	1.29	1.12E+06	200	No
BIE2017_0069	EC215	3-Oct-17	3-Oct-17	LWS.2 T=0	Survey	Spike	WL	1.29	1.12E+06	200	Yes
BIE2017_0070	EC973	4-Oct-17	3-Oct-17	LWC.1 T=0	Survey	Control	WL	1.76	1.53E+06	200	Yes
BIE2017_0071	EC973	4-Oct-17	3-Oct-17	LWC.2 T=0	Survey	Control	WL	1.76	1.53E+06	200	Yes
BIE2017_0072	EC973	4-Oct-17	3-Oct-17	LWS.1 T=0	Survey	Spike	WL	1.76	1.53E+06	200	Yes
BIE2017_0073	EC973	4-Oct-17	3-Oct-17	LWS.2 T=0	Survey	Spike	WL	1.76	1.53E+06	200	Yes
BIE2017_0074	EC1461	5-Oct-17	5-Oct-17	LWC.1 T=0	Survey	Control	WL	0.76	6.61E+05	200	Yes
BIE2017_0075	EC1461	5-Oct-17	5-Oct-17	LWC.2 T=0	Survey	Control	WL	0.76	6.61E+05	200	Yes
BIE2017_0076	EC1461	5-Oct-17	5-Oct-17	LWS.1 T=0	Survey	Spike	WL	0.76	6.61E+05	200	Yes
BIE2017_0077	EC1461	5-Oct-17	5-Oct-17	LWS.2 T=0	Survey	Spike	WL	0.76	6.61E+05	200	Yes
BIE2018_0097	WE2	10-Jul-18	9-Jul-18	LWC.1 T=0	Light_Dark	Control	WL	0.56	4.87E+05	200	Yes
BIE2018_0098	WE2	10-Jul-18	9-Jul-18	LWC.2 T=0	Light_Dark	Control	WL	0.56	4.87E+05	200	Yes
BIE2018_0099	WE2	10-Jul-18	9-Jul-18	LWS.1 T=0	Light_Dark	Spike	WL	0.56	4.87E+05	200	Yes
BIE2018_0100	WE2	10-Jul-18	9-Jul-18	LWS.2 T=0	Light_Dark	Spike	WL	0.56	4.87E+05	200	Yes
BIE2018_0103	WE2	10-Jul-18	9-Jul-18	DWC.1 T=0	Light_Dark	Control	WD	0.56	4.87E+05	200	Yes
BIE2018_0104	WE2	10-Jul-18	9-Jul-18	DWC.2 T=0	Light_Dark	Control	WD	0.56	4.87E+05	200	Yes
BIE2018_0105	WE2	10-Jul-18	9-Jul-18	DWS.1 T=0	Light_Dark	Spike	WD	0.56	4.87E+05	200	Yes
BIE2018_0106	WE2	10-Jul-18	9-Jul-18	DWS.2 T=0	Light_Dark	Spike	WD	0.56	4.87E+05	200	Yes
BIE2018_0145	WE2	24-Jul-18	23-Jul-18	LWC.1 T=0	Light_Dark	Control	WL	0.66	5.74E+05	200	Yes
BIE2018_0146	WE2	24-Jul-18	23-Jul-18	LWC.2 T=0	Light_Dark	Control	WL	0.66	5.74E+05	200	Yes
BIE2018_0147	WE2	24-Jul-18	23-Jul-18	LWS.1 T=0	Light_Dark	Spike	WL	0.66	5.74E+05	200	Yes
