Date	Hours_after_spike	Bottle_type	Condition	Rep	measured_H2O2	measured_H2O2_se	model_H2O2
22-Aug-17	0	C	WL	1	500	27	500
22-Aug-17	3	C	WL	1	460	17	945
22-Aug-17	6	C	WL	1	830	19	961
22-Aug-17	9	C	WL	1	1660	50	962
22-Aug-17	0	S	WL	1	2100	121	2100
22-Aug-17	3	S	WL	1	810	42	1002
22-Aug-17	6	S	WL	1	850	13	963
22-Aug-17	9	S	WL	1	1160	14	962
22-Aug-17	0	C	WL	2	640	17	640
22-Aug-17	3	C	WL	2	400	12	992
22-Aug-17	6	C	WL	2	890	19	992
22-Aug-17	9	C	WL	2	1420	22	992
22-Aug-17	0	S	WL	2	1800	299	1800
22-Aug-17	3	S	WL	2	710	11	992
22-Aug-17	6	S	WL	2	930	25	992
22-Aug-17	9	S	WL	2	1600	146	992
30-Aug-17	0	C	WL	1	780	25	780
30-Aug-17	3	C	WL	1	350	18	757
30-Aug-17	6	C	WL	1	730	22	757
30-Aug-17	9	C	WL	1	760	36	757
30-Aug-17	0	S	WL	1	1080	45	1080
30-Aug-17	3	S	WL	1	670	65	757
30-Aug-17	6	S	WL	1	830	50	757
30-Aug-17	9	S	WL	1	1200	45	757
30-Aug-17	0	C	WL	2	300	12	300
30-Aug-17	3	C	WL	2	440	58	434
30-Aug-17	6	C	WL	2	530	25	511
30-Aug-17	9	C	WL	2	543	34	556
30-Aug-17	0	S	WL	2	810	54	810
30-Aug-17	3	S	WL	2	720	41	728
30-Aug-17	6	S	WL	2	780	50	681
30-Aug-17	9	S	WL	2	570	21	653
23-Jul-19	0	C	WL	1	50	19	50
23-Jul-19	3	C	WL	1	390	10	599
23-Jul-19	6	C	WL	1	1260	23	599
23-Jul-19	9	C	WL	1	310	14	599
23-Jul-19	0	S	WL	1	1000	44	1000
23-Jul-19	3	S	WL	1	305	7	599
23-Jul-19	6	S	WL	1	910	72	599
23-Jul-19	9	S	WL	1	420	21	599
23-Jul-19	0	C	WL	2	70	14	70
23-Jul-19	3	C	WL	2	244	9	433
23-Jul-19	6	C	WL	2	840	44	433
23-Jul-19	9	C	WL	2	380	35	433
23-Jul-19	0	S	WL	2	780	72	780
23-Jul-19	3	S	WL	2	286	9	433
23-Jul-19	6	S	WL	2	460	25	433
23-Jul-19	9	S	WL	2	390	11	433
6-Aug-19	0	C	WL	1	167	8	167
6-Aug-19	3	C	WL	1	390	10	288
6-Aug-19	6	C	WL	1	291	4	288
6-Aug-19	9	C	WL	1	200	13	288
6-Aug-19	0	S	WL	1	560	21	560
6-Aug-19	3	S	WL	1	328	9	288
6-Aug-19	6	S	WL	1	284	5	288
6-Aug-19	9	S	WL	1	235	4	288
6-Aug-19	0	C	WL	2	148	4	148
6-Aug-19	3	C	WL	2	459	4	297
6-Aug-19	6	C	WL	2	261	5	307
6-Aug-19	9	C	WL	2	236	4	308
6-Aug-19	0	S	WL	2	640	22	640
6-Aug-19	3	S	WL	2	410	11	331
6-Aug-19	6	S	WL	2	283	8	310
6-Aug-19	9	S	WL	2	228	6	308
6-Aug-19	0	C	FL	1	113	5	113
6-Aug-19	3	C	FL	1	369	6	217
6-Aug-19	6	C	FL	1	251	6	244
6-Aug-19	9	C	FL	1	194	2	251
6-Aug-19	0	S	FL	1	850	11	850
6-Aug-19	3	S	FL	1	480	16	406
6-Aug-19	6	S	FL	1	241	7	292
6-Aug-19	9	S	FL	1	190	32	263
6-Aug-19	0	C	FL	2	86	9	86
6-Aug-19	3	C	FL	2	378	8	260
6-Aug-19	6	C	FL	2	265	5	260
6-Aug-19	9	C	FL	2	191	5	260
6-Aug-19	0	S	FL	2	744	7	744
6-Aug-19	3	S	FL	2	290	22	260
6-Aug-19	6	S	FL	2	246	5	260
6-Aug-19	9	S	FL	2	190	15	260
24-Aug-19	0	C	WL	1	50	12	50
24-Aug-19	3	C	WL	1	208	8	274
24-Aug-19	6	C	WL	1	300	10	310
24-Aug-19	9	C	WL	1	365	7	316
24-Aug-19	0	S	WL	1	840	26	840
24-Aug-19	3	S	WL	1	352	6	402
24-Aug-19	6	S	WL	1	380	33	331
24-Aug-19	9	S	WL	1	330	15	319
24-Aug-19	0	C	WL	2	48	5	48
24-Aug-19	3	C	WL	2	280	11	329
24-Aug-19	6	C	WL	2	380	14	329
24-Aug-19	9	C	WL	2	420	15	329
24-Aug-19	0	S	WL	2	670	17	670
24-Aug-19	3	S	WL	2	275	7	329
24-Aug-19	6	S	WL	2	351	8	329
24-Aug-19	9	S	WL	2	270	17	329
24-Aug-19	0	C	FL	1	77	7	77
24-Aug-19	3	C	FL	1	264	9	294
24-Aug-19	6	C	FL	1	318	9	299
24-Aug-19	9	C	FL	1	330	10	299
24-Aug-19	0	S	FL	1	690	41	690
24-Aug-19	3	S	FL	1	290	11	308
24-Aug-19	6	S	FL	1	404	7	299
24-Aug-19	9	S	FL	1	203	5	299
24-Aug-19	0	C	FL	2	80	18	80
24-Aug-19	3	C	FL	2	280	18	249
24-Aug-19	6	C	FL	2	350	11	303
24-Aug-19	9	C	FL	2	295	9	321
24-Aug-19	0	S	FL	2	720	22	720
24-Aug-19	3	S	FL	2	492	9	455
24-Aug-19	6	S	FL	2	420	20	370
24-Aug-19	9	S	FL	2	230	25	342
