Collection_Date	Experiment_Date	Rep	Site	Condition	Model_Fit	Sum_Error_Squares	PH2O2	Kloss	Net_production	Net_decay	Max_H2O2	Start_Time	Time_Max_H2O2	Stop_Time	Notes	FC_Net_production	FC_Net_decay	FC_Max_H2O2	FC_Time_Max_H2O2	FC_Notes
30-May-17	31-May-17	1	WE2	WL	Yes	299193.59	314.3446661	0.314220824	80	201	940	8:00	14:00	17:00	[H2O2] at 14:00 and 17:00 not significantly different	106.6666667	0	1330	17:00	Ignored outlier sample at T=6 for these calculations
30-May-17	31-May-17	2	WE2	WL	Yes	97350.8	113.3968709	0.077615034	91.66666667	11	890	8:00	14:00	17:00	Inital spike was lower and no measured decay in spike bottle. [H2O2] at 14:00 and 17:00 not significantly different	83.33333333	0	1040	17:00	
12-Jun-17	13-Jun-17	1	WE2	WL	Yes	360172.55	428.48703	0.341155134	161.6666667	228.8888889	1550	8:20	14:00	17:00		206.6666667	0	2600	17:00	Spiked bottles have much higher [H2O2] than expected
12-Jun-17	13-Jun-17	2	WE2	WL	Yes	156842.25	436.0203099	0.3438201	143.3333333	270	1340	8:20	14:00	17:00		170	0	2730	17:00	Spiked bottles have much higher [H2O2] than expected
26-Jun-17	27-Jun-17	1	WE2	WL	Yes	1774.58	19.92981458	0.084759294	11	46.66666667	186	8:20	14:00	17:00		11.11111111	0	250	17:00	
26-Jun-17	27-Jun-17	2	WE2	WL	Yes	2524.2	28.79669993	0.103659395	10	55.55555556	240	8:20	14:00	17:00	[H2O2] at 14:00 and 17:00 not significantly different	12.22222222	0	250	17:00	
5-Jul-17	6-Jul-17	1	WE2	WL	Yes	75294.79	110.6361754	0.178724697	65	73.33333333	610	8:00	14:00	17:00		94.44444444	0	1010	17:00	
5-Jul-17	6-Jul-17	2	WE2	WL	Yes	17354.75	212.0242947	0.384907943	66.66666667	128.8888889	600	8:00	14:00	17:00		87.77777778	0	1000	17:00	
11-Jul-17	12-Jul-17	1	WE2	WL	Yes	78393.5	87.84636423	0.197140076	-7.777777778	173.3333333	500	8:00	8:00	17:00		21.11111111	0	530	17:00	
11-Jul-17	12-Jul-17	2	WE2	WL	Yes	79862.86	34.45762348	0.120645495	-20	162.2222222	650	8:00	8:00	17:00		27.77777778	94.44444444	560	17:00	
17-Jul-17	18-Jul-17	1	WE2	WL	Yes	53309.84	372.4375757	0.401899703	87.77777778	53.33333333	1060	8:00	17:00	17:00		117.7777778	0	1270	17:00	
