Collection_Date	Experiment_Date	Year	Condition	Experiment_type	Site	Chla	Chla_CI	DIC	DIC_CI	H2CO3	H2CO3_CI	HCO3	HCO3_CI	CO3	CO3_CI	DOC	Resp	Resp_CI	PrimProd	PrimProd_CI	CDOM	CDOM_CI	Day_Integrated_UVA	Day_Integrated_UVB	Day_Integrated_UV	pH	TP	TP_CI	TDP	TDP_CI	Nitrate	Nitrate_CI	NH4	NH4_CI	SRP	SRP_CI	Incubation_Temp	Incubation_Temp_SD	peakA	peakA_CI	peakC	peakC_CI	peakT	peakT_CI	C_A_ratio	C_A_ratio_CI	T_A_ratio	T_A_ratio_CI	IntFlour	IntFlour_CI	FI	FI_CI	SlopeRatio	SlopeRatio_CI
9-Jul-18	10-Jul-18	2018	WD	Light_Dark	WE2	5	1.96	1955	4.998	13.54	0.0392	1913	5.88	28.3	0.0784	327	31	5.88	12	0.9212	10.74	0.1372	1064956.07	50250.95	1115207.02	8.5	49.35	0	18.764	0	2.13	0	52.14	0	23.96	0	28.7	0.7	1.07	0.01	0.336	0.001	0.19	0.02	0.314	0.004	0.18	0.02	5660	32	1.58	0.01	0.89	0.04
9-Jul-18	10-Jul-18	2018	WL	Light_Dark	WE2	5	1.96	1955	4.998	13.54	0.0392	1913	5.88	28.3	0.0784	327	31	5.88	12	0.9212	10.74	0.1372	1064956.07	50250.95	1115207.02	8.5	49.35	0	18.764	0	2.13	0	52.14	0	23.96	0	28.7	0.7	1.07	0.01	0.336	0.001	0.19	0.02	0.314	0.004	0.18	0.02	5660	32	1.58	0.01	0.89	0.04
23-Jul-18	24-Jul-18	2018	WD	Light_Dark	WE2	10.1	0.588	1856	2.4696	12.858	0.01764	1816	1.96	26.86	0.0392	272	14.4	0.98	7.1	0.3136	4.95	0.0392	626926.9	27579.63	654506.53	8.5	24.41	0	4.91	0	0.6765	0	7.6	0	3.7	0	23.9	0.2	0.5	0.02	0.1472	0.0004	0.144	0.006	0.29	0.01	0.29	0.02	2830	23	1.562	0.014	1.08	0.03
23-Jul-18	24-Jul-18	2018	WL	Light_Dark	WE2	10.1	0.588	1856	2.4696	12.858	0.01764	1816	1.96	26.86	0.0392	272	14.4	0.98	7.1	0.3136	4.95	0.0392	626926.9	27579.63	654506.53	8.5	24.41	0	4.91	0	0.6765	0	7.6	0	3.7	0	23.9	0.2	0.5	0.02	0.1472	0.0004	0.144	0.006	0.29	0.01	0.29	0.02	2830	23	1.562	0.014	1.08	0.03
30-Jul-18	31-Jul-18	2018	WD	Light_Dark	WE2	22.4	1.764	1603	4.2336	5.506	0.01372	1552	3.92	45.79	0.1176	278	19.3	0.98	14	0.2744	4.94	0.0196	508551.17	21577.12	530128.29	8.8	26.16	0	4.4465	0	0.7	0	2.98	0	2.1	0	22.4	0.4	0.504	0.004	0.153	0.001	0.12	0.005	0.303	0.003	0.24	0.01	2710	20	1.59	0.02	1.09	0.01
30-Jul-18	31-Jul-18	2018	WL	Light_Dark	WE2	22.4	1.764	1603	4.2336	5.506	0.01372	1552	3.92	45.79	0.1176	278	19.3	0.98	14	0.2744	4.94	0.0196	508551.17	21577.12	530128.29	8.8	26.16	0	4.4465	0	0.7	0	2.98	0	2.1	0	22.4	0.4	0.504	0.004	0.153	0.001	0.12	0.005	0.303	0.003	0.24	0.01	2710	20	1.59	0.02	1.09	0.01
2-Aug-18	3-Aug-18	2018	FL	Size_Frac	TWI	11.5	0.588	1742	13.7592	4.09	0.0392	1667	13.72	71.1	0.588	330	16.9	0.588	8.04	0.1764	6.098	0.01	1041884.77	46605.63	1088490.4	8.96	26.2	1.04	5.2	0.22	0.61	0.03	5.82	0.19	2.5	0.43	29	2.7	0.609	0.002	0.184	0.001	0.146	0.006	0.301	0.002	0.24	0.01	3320	25	1.57	0.02	1.09	0.01
2-Aug-18	3-Aug-18	2018	WL	Size_Frac	TWI	20.3	1.764	1742	13.7592	4.09	0.0392	1667	13.72	71.1	0.588	330	20.1	0.98	14	1.96	6.098	0.01	1041884.77	46605.63	1088490.4	8.96	26.2	1.04	5.2	0.22	0.61	0.03	5.82	0.19	2.5	0.43	29	2.7	0.609	0.002	0.184	0.001	0.146	0.006	0.301	0.002	0.24	0.01	3320	25	1.57	0.02	1.09	0.01
6-Aug-18	7-Aug-18	2018	WD	Light_Dark	WE2	21.5	0.98	1706	2.8812	4.623	0.00784	1640	1.96	60.95	0.098	309	21.5	1.568	9.9	0.6272	5.95	0.0196	820295.76	38596.04	858891.8	8.9	23.3	0	4.228	0	0.55	0	4.93	0	1.526	0	25	0.8	0.598	0.006	0.18	0.002	0.142	0.005	0.3	0.004	0.24	0.01	3260	59	1.59	0.01	1.08	0.02
6-Aug-18	7-Aug-18	2018	WL	Light_Dark	WE2	21.5	0.98	1706	2.8812	4.623	0.00784	1640	1.96	60.95	0.098	309	21.5	1.568	9.9	0.6272	5.95	0.0196	820295.76	38596.04	858891.8	8.9	23.3	0	4.228	0	0.55	0	4.93	0	1.526	0	25	0.8	0.598	0.006	0.18	0.002	0.142	0.005	0.3	0.004	0.24	0.01	3260	59	1.59	0.01	1.08	0.02
9-Aug-18	10-Aug-18	2018	FL	Size_Frac	TWI	6.6	0.588	1673.4	0.7644	4.222	0.00196	1605.3	0.784	63.91	0.0196	302	12.48	0.1568	2.8	0.392	4.5	0.04	792824.65	36163.5	828988.15	8.93	22.6	1.02	5.2	0.22	0.355	0	16.8	0.53	2.3	0.51	23	0.8	0.436	0.009	0.128	0.001	0.11	0.002	0.294	0.007	0.25	0.01	2403	9	1.575	0.008	1.13	0.01
9-Aug-18	10-Aug-18	2018	WL	Size_Frac	TWI	11.9	0.98	1673.4	0.7644	4.222	0.00196	1605.3	0.784	63.91	0.0196	302	14.1	0.588	4.6	0.6272	4.5	0.04	792824.65	36163.5	828988.15	8.93	22.6	1.02	5.2	0.22	0.355	0	16.8	0.53	2.3	0.51	23	0.8	0.436	0.009	0.128	0.001	0.11	0.002	0.294	0.007	0.25	0.01	2403	9	1.575	0.008	1.13	0.01
